"Index_logical","Index_offset",XBkTp,YBkTp,XBkBt,YBkBt
-1437,610,1225,-4100,-6225,-4100
-1436,611,1225,-4100,-6225,-4100
-1435,612,1225,-4100,-6225,-4100
-1434,613,1225,-4100,-6225,-4100
-1433,614,1225,-4100,-6225,-4100
-1432,615,1225,-4100,-6225,-4100
-1431,616,1225,-4100,-6225,-4100
-1430,617,1225,-4100,-6225,-4100
-1429,618,1225,-4100,-6225,-4100
-1428,619,1225,-4100,-6225,-4100
-1427,620,1225,-4100,-6225,-4100
-1426,621,1225,-4100,-6225,-4100
-1425,622,1225,-4100,-6225,-4100
-1424,623,1225,-4100,-6225,-4100
-1423,624,1225,-4100,-6225,-4100
-1422,625,1225,-4100,-6225,-4100
-1421,626,1225,-4100,-6225,-4100
-1420,627,1225,-4100,-6225,-4100
-1419,628,1225,-4100,-6225,-4100
-1418,629,1225,-4100,-6225,-4100
-1417,630,1225,-4100,-6225,-4100
-1416,631,1225,-4100,-6225,-4100
-1415,632,1225,-4100,-6225,-4100
-1414,633,1225,-4100,-6225,-4100
-1413,634,1225,-4100,-6225,-4100
-1412,635,1225,-4100,-6225,-4100
-1411,636,1225,-4100,-6225,-4100
-1410,637,1225,-4100,-6225,-4100
-1409,638,1225,-4100,-6225,-4100
-1408,639,1225,-4100,-6225,-4100
-1407,640,1225,-4100,-6225,-4100
-1406,641,1225,-4100,-6225,-4100
-1405,642,1225,-4100,-6225,-4100
-1404,643,1225,-4100,-6225,-4100
-1403,644,1225,-4100,-6225,-4100
-1402,645,1225,-4100,-6225,-4100
-1401,646,1225,-4100,-6225,-4100
-1400,647,1225,-4100,-6225,-4100
-1399,648,1225,-4100,-6225,-4100
-1398,649,1225,-4100,-6225,-4100
-1397,650,1225,-4100,-6225,-4100
-1396,651,1225,-4100,-6225,-4100
-1395,652,1225,-4100,-6225,-4100
-1394,653,1225,-4100,-6225,-4100
